8/9,4,14,user71,act0,unite the interviewer,0.37
6/10,1,8,user57,act1,wish the bandana,0.01
9/4,3,9,user6,act2,disagree the force,0.52
16/8,6,16,user93,act3,tumble the dipstick,0.3
2/3,11,16,user33,act4,spot the trumpet,0.2
24/5,3,6,user89,act5,bore the slipper,0.6
10/9,11,16,user12,act6,yawn the apology,0.31
18/3,2,7,user67,act7,attend the sand,0.35
15/1,1,7,user34,act8,number the wrist,0.69
19/3,9,18,user99,act9,gaze the snowboarding,0.67
2/7,6,14,user69,act10,separate the fact,0.56
22/9,10,18,user26,act11,love the innocent,0.72
29/8,5,7,user73,act12,signal the ink,0.87
4/3,10,11,user37,act13,use the dock,0.09
28/5,4,5,user44,act14,sign the kettledrum,0.69
4/2,10,11,user13,act15,analyse the bag,0.13
12/7,5,12,user91,act16,ignore the tyvek,0.55
3/2,9,10,user3,act17,hunt the edge,0.4
4/8,4,13,user50,act18,stamp the needle,0.84
17/2,12,14,user77,act19,post the chord,0.02
8/4,5,15,user99,act20,stroke the baritone,0.22
9/1,11,18,user66,act21,watch the amount,0.95
14/4,10,16,user2,act22,ruin the railway,0.88
6/8,6,9,user9,act23,order the french,0.54
24/5,12,19,user22,act24,fail the flugelhorn,0.08
27/9,7,10,user2,act25,jump the john,0.75
2/9,12,13,user29,act26,back the turkish,0.39
6/5,6,8,user74,act27,count the class,0.61
21/8,8,13,user87,act28,wrestle the explanation,0.11
26/1,3,8,user98,act29,tug the owl,0.55
20/7,3,6,user59,act30,trip the castanet,0.64
8/5,3,12,user8,act31,snatch the wrecker,0.81
11/7,6,8,user95,act32,race the glue,0.92
29/4,6,11,user43,act33,whisper the ease,0.8
2/1,10,14,user67,act34,deceive the cuticle,0.68
4/8,8,12,user58,act35,share the cellar,0.47
27/11,0,6,user25,act36,spill the temple,0.92
10/9,6,9,user4,act37,watch the hate,0.69
10/8,8,14,user34,act38,overflow the birthday,0.24
2/2,6,16,user76,act39,dam the apple,0.62
7/7,10,17,user26,act40,live the blue,0.2
20/9,6,10,user22,act41,expand the scraper,0.11
1/8,4,13,user11,act42,train the grade,0.75
30/7,1,2,user24,act43,miss the tank,0.03
18/5,0,9,user22,act44,dress the drama,0.55
11/12,0,2,user9,act45,subtract the alibi,0.68
24/5,5,12,user95,act46,risk the theory,0.4
14/10,6,12,user99,act47,hurry the swallow,0.16
3/11,2,8,user12,act48,dam the paperback,0.54
29/10,7,14,user20,act49,fry the stitch,0.74
7/7,4,5,user54,act50,treat the clerk,0.09
18/8,10,20,user12,act51,sigh the belt,0.23
10/6,0,2,user69,act52,remain the chive,0.39
8/6,4,7,user15,act53,rule the steam,0.35
1/5,7,17,user31,act54,appreciate the thrill,0.41
8/1,12,21,user44,act55,bounce the pair,0.14
15/2,4,10,user72,act56,belong the arch,0.08
6/2,12,16,user0,act57,whip the magazine,0.28
29/1,11,17,user74,act58,beg the machine,0.7
8/1,8,9,user18,act59,pull the height,0.52
31/7,4,8,user74,act60,fade the coke,0.29
28/4,2,8,user80,act61,grab the goose,0.02
3/9,8,18,user76,act62,place the mallet,0.01
15/3,1,6,user96,act63,cough the malaysia,0.72
9/4,8,18,user2,act64,end the learning,0.45
2/5,4,13,user42,act65,hand the south africa,0.77
20/6,12,18,user1,act66,travel the detail,0.09
27/1,3,5,user82,act67,wink the sagittarius,0.83
31/3,5,15,user25,act68,label the stock,0.65
12/1,6,10,user75,act69,brush the catsup,0.49
21/8,5,15,user52,act70,greet the base,0.45
20/9,5,13,user22,act71,prepare the technician,0.63
27/6,3,5,user87,act72,phone the bacon,0.77
11/3,5,12,user78,act73,check the passenger,0.8
12/2,2,8,user78,act74,excite the crime,0.28
24/8,6,10,user33,act75,jail the pressure,0.62
26/6,1,9,user67,act76,terrify the soprano,0.36
31/5,3,6,user89,act77,mug the move,0.1
7/6,4,8,user30,act78,suck the trick,0.5
24/2,7,15,user74,act79,sin the stopsign,0.05
